ID,Months_On_Book,Credit_Limit,Opening_Balance,Ending_Balance,Over_limit_Amount,Actual_Min_Pay_Due,Total_Min_Pay_Due,Net_Payments_During_Cycle,Net_Purchases_During_Cycle,Net_Cash_Advances_During_Cycle,Net_Fees,Net_Behavior_Fees_Billed_During,Net_Concessions_Billed_During_Cy,Score1,Score2,Utility,Bad
A68,126,950,724,611,0,20,20,130,0,0,6,11,0,276.9390865,771,0.643284211,0
A69,112,350,-137,-132,0,0,0,0,0,0,5,0,0,384.6129289,792,-0.377714286,0
A70,126,"1,000",951,912,0,28,28,60,0,0,6,16,0,318.2676913,731,0.91249,0
A71,125,800,511,606,0,25,25,125,155,43,6,16,0,460.6139802,762,0.756925,0
A72,109,350,257,285,0,20,20,50,66,0,5,7,0,336.7258897,839,0.815057143,0
A73,125,850,590,505,0,25,25,100,0,0,6,9,0,953.5001493,815,0.593588235,0
A74,125,"1,350","1,136","1,060",0,32,32,100,0,0,6,18,0,181.4194806,756,0.785007407,0
A75,96,700,-12,44,0,20,20,0,0,0,56,0,0,268.9694241,1000,0.062857143,0
A76,110,650,648,648,0,20,20,35,21,0,3,11,0,724.613187,717,0.996661539,0
A77,125,450,457,443,0,20,20,30,0,0,5,11,0,858.9764478,703,0.984466667,0
A78,125,650,541,524,0,25,25,150,116,0,6,10,0,993.0741074,778,0.805461539,0
A79,119,350,266,213,0,20,20,75,12,0,6,4,0,918.4092509,908,0.6088,0
A80,124,550,359,285,0,20,20,100,20,0,0,6,0,122.4610581,838,0.517745455,0
A81,119,250,-70,-89,0,0,0,25,0,0,6,0,0,554.8931408,996,-0.356,0
A82,119,250,-70,-89,0,0,0,25,0,0,6,0,0,23.98490952,996,-0.356,0
A83,119,250,-70,-89,0,0,0,25,0,0,6,0,0,879.1886871,996,-0.356,0
A84,119,250,-70,-89,0,0,0,25,0,0,6,0,0,621.5790234,996,-0.356,0
A85,124,"1,000",971,-8,0,0,0,985,0,0,6,0,0,902.3044653,996,-0.00849,0
A86,124,400,223,193,0,25,25,50,0,0,17,4,0,749.1227002,847,0.483325,0
A87,104,350,232,259,0,20,20,120,136,0,6,5,0,535.7874019,786,0.740742857,0
A88,113,350,352,261,0,20,20,100,0,0,5,4,0,309.1730561,768,0.746285714,0
A89,123,600,591,581,0,25,25,25,0,0,6,10,0,711.7173156,733,0.968933333,0
A90,123,750,81,-19,0,0,0,125,19,0,6,0,0,930.535042,862,-0.025253333,0
A91,122,350,276,345,0,25,25,100,113,0,51,5,0,381.3852332,701,0.986714286,0
A92,122,350,276,345,0,25,25,100,113,0,51,5,0,410.1533821,701,0.986714286,0
A93,122,350,276,345,0,25,25,100,113,0,51,5,0,492.2770954,701,0.986714286,0
A94,122,350,276,345,0,25,25,100,113,0,51,5,0,522.8386018,701,0.986714286,0
A95,122,825,814,738,0,23,23,98,0,0,3,18,0,648.4199388,767,0.894133333,0
A96,122,750,31,6,0,6,6,31,0,0,6,0,0,737.4234518,985,0.008,0
A97,122,800,613,608,0,20,20,21,0,0,6,10,0,853.2500384,764,0.7598875,0
A98,122,700,412,427,0,25,25,50,54,0,3,7,0,749.0704114,832,0.609314286,0
A99,90,500,446,479,0,20,20,40,58,0,7,8,0,88.40576713,717,0.95836,0
A100,122,600,109,39,0,20,20,110,37,0,3,0,0,332.3486452,980,0.065766667,0
A101,122,900,0,-7,0,0,0,10,0,0,3,0,0,422.503798,993,-0.007466667,0
A102,100,350,350,341,0,20,20,20,0,0,6,6,0,620.9301359,718,0.975314286,0
A103,122,650,0,493,0,20,20,100,20,0,6,12,0,974.5094607,,0.758230769,0
A104,121,550,45,225,0,20,20,45,225,0,0,0,0,909.2148939,0,0.409090909,0
A105,121,"1,000","1,042",991,0,30,30,74,0,0,6,17,0,500.2526112,685,0.99115,0
A106,121,450,506,444,0,20,20,76,0,0,6,8,0,682.1686902,702,0.987088889,0
A107,119,400,6,246,0,20,20,10,244,0,6,0,0,905.655003,841,0.615675,0
A108,121,550,365,287,0,20,20,90,0,0,6,5,0,342.4877373,818,0.521618182,0
A109,121,450,475,446,0,20,20,50,5,0,6,10,0,817.560288,708,0.991688889,0
A110,120,450,69,101,0,20,20,25,0,0,56,1,0,754.7285289,929,0.225177778,0
A111,120,700,445,435,0,20,20,100,27,0,56,7,0,323.4553291,858,0.6214,0
A112,120,400,404,429,29,25,54,55,22,0,51,7,0,247.4158648,722,1.071575,0
A113,120,550,92,56,0,20,20,92,0,0,56,0,0,70.78269606,954,0.102509091,0
A114,120,450,85,46,0,20,20,85,40,0,6,0,0,331.4791755,856,0.102222222,0
A115,113,450,-3,48,0,20,20,0,0,0,51,0,0,573.0955899,831,0.106644444,0
A116,106,250,221,81,0,20,20,120,0,0,6,-26,0,50.48845292,883,0.32524,0
A117,119,300,302,203,0,20,20,170,60,0,6,5,0,802.4916358,767,0.677033333,0
A118,119,500,312,396,0,20,20,26,100,0,3,6,0,269.1492468,768,0.79104,0
A119,119,750,589,215,0,20,20,400,15,0,3,7,0,711.4882456,867,0.286226667,0
A120,119,500,444,480,0,20,20,40,62,0,6,8,0,91.30978831,713,0.95914,0
A121,119,350,331,320,0,20,20,20,0,0,3,6,0,201.4776973,,0.913228571,0
A122,119,650,595,571,0,20,20,40,0,0,3,14,0,385.1083076,722,0.878661539,0
A123,118,600,614,596,0,20,20,34,0,0,6,10,0,504.9869548,679,0.993383333,0
A124,117,450,424,417,0,20,20,20,0,0,6,7,0,625.909767,725,0.926222222,0
A125,119,800,-4,136,0,20,20,0,137,0,3,0,0,521.3983917,942,0.169525,0
A126,118,350,333,335,0,20,20,40,31,0,6,5,0,86.41491629,717,0.9578,0
A127,93,250,235,241,0,20,20,25,21,0,6,4,0,777.4491807,721,0.9656,0
